"Plot Title: 10998654"
"#","Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)","Coupler Detached (LGR S/N: 10998654)","End Of File (LGR S/N: 10998654)"
291,02/05/17 03:14:11 PM,82.152,192.0,,
292,02/05/17 04:14:11 PM,82.152,118.0,,
293,02/05/17 05:14:11 PM,82.686,56.0,,
294,02/05/17 06:14:11 PM,82.330,4.0,,
295,02/05/17 07:14:11 PM,82.508,0.0,,
296,02/05/17 08:14:11 PM,82.508,0.0,,
297,02/05/17 09:14:11 PM,82.508,0.0,,
298,02/05/17 10:14:11 PM,82.508,0.0,,
299,02/05/17 11:14:11 PM,82.330,0.0,,
300,02/06/17 12:14:11 AM,82.152,0.0,,
301,02/06/17 01:14:11 AM,81.975,0.0,,
302,02/06/17 02:14:11 AM,81.975,0.0,,
303,02/06/17 03:14:11 AM,81.975,0.0,,
304,02/06/17 04:14:11 AM,81.975,0.0,,
305,02/06/17 05:14:11 AM,81.975,0.0,,
306,02/06/17 06:14:11 AM,81.975,0.0,,
307,02/06/17 07:14:11 AM,81.797,23.0,,
308,02/06/17 08:14:11 AM,82.152,42.0,,
309,02/06/17 09:14:11 AM,81.975,110.0,,
310,02/06/17 10:14:11 AM,82.152,168.0,,
311,02/06/17 11:14:11 AM,82.330,200.0,,
312,02/06/17 12:14:11 PM,82.152,232.0,,
313,02/06/17 01:14:11 PM,82.152,200.0,,
314,02/06/17 02:14:11 PM,82.152,152.0,,
315,02/06/17 03:14:11 PM,82.152,128.0,,
316,02/06/17 04:14:11 PM,82.152,69.0,,
317,02/06/17 05:14:11 PM,82.152,31.0,,
318,02/06/17 06:14:11 PM,81.975,3.0,,
319,02/06/17 07:14:11 PM,81.975,0.0,,
320,02/06/17 08:14:11 PM,81.975,0.0,,
321,02/06/17 09:14:11 PM,81.975,0.0,,
322,02/06/17 10:14:11 PM,82.330,0.0,,
323,02/06/17 11:14:11 PM,81.975,0.0,,
324,02/07/17 12:14:11 AM,82.152,0.0,,
325,02/07/17 01:14:11 AM,82.152,0.0,,
326,02/07/17 02:14:11 AM,82.152,0.0,,
327,02/07/17 03:14:11 AM,82.152,0.0,,
328,02/07/17 04:14:11 AM,82.152,0.0,,
329,02/07/17 05:14:11 AM,82.152,0.0,,
330,02/07/17 06:14:11 AM,82.330,0.0,,
331,02/07/17 07:14:11 AM,82.330,29.0,,
332,02/07/17 08:14:11 AM,82.330,89.0,,
333,02/07/17 09:14:11 AM,82.330,184.0,,
334,02/07/17 10:14:11 AM,82.508,304.0,,
335,02/07/17 11:14:11 AM,82.508,184.0,,
336,02/07/17 12:14:11 PM,82.508,464.0,,
337,02/07/17 01:14:11 PM,82.686,336.0,,
338,02/07/17 02:14:11 PM,82.686,304.0,,
339,02/07/17 03:14:11 PM,82.508,168.0,,
340,02/07/17 04:14:11 PM,82.508,98.0,,
341,02/07/17 05:14:11 PM,82.508,38.0,,
342,02/07/17 06:14:11 PM,82.508,2.0,,
343,02/07/17 07:14:11 PM,82.508,0.0,,
344,02/07/17 08:14:11 PM,82.508,0.0,,
345,02/07/17 09:14:11 PM,82.508,0.0,,
346,02/07/17 10:14:11 PM,82.508,0.0,,
347,02/07/17 11:14:11 PM,82.508,0.0,,
348,02/08/17 12:14:11 AM,82.686,0.0,,
349,02/08/17 01:14:11 AM,82.508,0.0,,
350,02/08/17 02:14:11 AM,82.508,0.0,,
351,02/08/17 03:14:11 AM,82.508,0.0,,
352,02/08/17 04:14:11 AM,82.508,0.0,,
353,02/08/17 05:14:11 AM,82.508,0.0,,
354,02/08/17 06:14:11 AM,82.508,0.0,,
355,02/08/17 07:14:11 AM,82.508,32.0,,
356,02/08/17 08:14:11 AM,82.508,69.0,,
357,02/08/17 09:14:11 AM,82.686,152.0,,
358,02/08/17 10:14:11 AM,82.686,416.0,,
359,02/08/17 11:14:11 AM,82.864,464.0,,
360,02/08/17 12:14:11 PM,83.221,496.0,,
361,02/08/17 01:14:11 PM,83.221,448.0,,
362,02/08/17 02:14:11 PM,83.221,336.0,,
363,02/08/17 03:14:11 PM,82.864,224.0,,
364,02/08/17 04:14:11 PM,82.864,110.0,,
365,02/08/17 05:14:11 PM,82.686,36.0,,
