Plot Title: 20051877,,,,
#,"Date Time, GMT+05:00","Temp, ¡C (LGR S/N: 20051877, SEN S/N: 20051877)","Intensity, Lux (LGR S/N: 20051877, SEN S/N: 20051877)",End Of File (LGR S/N: 20051877)
25179,12/19/17 12:30:00 PM,27.764,312.2,
25180,12/19/17 12:45:00 PM,27.764,322.9,
25181,12/19/17 01:00:00 PM,27.764,226,
25182,12/19/17 01:15:00 PM,28.258,269.1,
25183,12/19/17 01:30:00 PM,28.06,118.4,
25184,12/19/17 01:45:00 PM,28.06,247.6,
25185,12/19/17 02:00:00 PM,28.456,258.3,
25186,12/19/17 02:15:00 PM,28.159,226,
25187,12/19/17 02:30:00 PM,28.456,193.8,
25188,12/19/17 02:45:00 PM,28.555,183,
25189,12/19/17 03:00:00 PM,28.754,172.2,
25190,12/19/17 03:15:00 PM,28.754,139.9,
25191,12/19/17 03:30:00 PM,28.555,118.4,
25192,12/19/17 03:45:00 PM,28.754,107.6,
25193,12/19/17 04:00:00 PM,28.853,86.1,
25194,12/19/17 04:15:00 PM,28.655,64.6,
25195,12/19/17 04:30:00 PM,28.655,53.8,
25196,12/19/17 04:45:00 PM,28.357,32.3,
25197,12/19/17 05:00:00 PM,28.357,21.5,
25198,12/19/17 05:15:00 PM,28.357,10.8,
25199,12/19/17 05:30:00 PM,28.258,0,
25200,12/19/17 05:45:00 PM,28.159,0,
25201,12/19/17 06:00:00 PM,28.159,0,
25202,12/19/17 06:15:00 PM,28.06,0,
25203,12/19/17 06:30:00 PM,28.06,0,
25204,12/19/17 06:45:00 PM,28.06,0,
25205,12/19/17 07:00:00 PM,28.159,0,
25206,12/19/17 07:15:00 PM,28.06,0,
25207,12/19/17 07:30:00 PM,27.961,0,
25208,12/19/17 07:45:00 PM,27.961,0,
25209,12/19/17 08:00:00 PM,27.961,0,
25210,12/19/17 08:15:00 PM,27.961,0,
25211,12/19/17 08:30:00 PM,28.06,0,
25212,12/19/17 08:45:00 PM,27.961,0,
25213,12/19/17 09:00:00 PM,27.961,0,
25214,12/19/17 09:15:00 PM,27.961,0,
25215,12/19/17 09:30:00 PM,27.961,0,
25216,12/19/17 09:45:00 PM,28.06,0,
25217,12/19/17 10:00:00 PM,28.06,0,
25218,12/19/17 10:15:00 PM,27.961,0,
25219,12/19/17 10:30:00 PM,27.961,0,
25220,12/19/17 10:45:00 PM,27.961,0,
25221,12/19/17 11:00:00 PM,27.961,0,
25222,12/19/17 11:15:00 PM,28.06,0,
25223,12/19/17 11:30:00 PM,28.06,0,
25224,12/19/17 11:45:00 PM,28.06,0,
25225,12/20/17 12:00:00 AM,28.258,0,
25226,12/20/17 12:15:00 AM,28.159,0,
25227,12/20/17 12:30:00 AM,28.06,0,
25228,12/20/17 12:45:00 AM,28.06,0,
25229,12/20/17 01:00:00 AM,27.961,0,
25230,12/20/17 01:15:00 AM,27.961,0,
25231,12/20/17 01:30:00 AM,28.06,0,
25232,12/20/17 01:45:00 AM,28.06,0,
25233,12/20/17 02:00:00 AM,28.06,0,
25234,12/20/17 02:15:00 AM,27.961,0,
25235,12/20/17 02:30:00 AM,27.961,0,
25236,12/20/17 02:45:00 AM,27.961,0,
25237,12/20/17 03:00:00 AM,27.961,0,
25238,12/20/17 03:15:00 AM,27.961,0,
25239,12/20/17 03:30:00 AM,28.06,0,
25240,12/20/17 03:45:00 AM,28.06,0,
25241,12/20/17 04:00:00 AM,28.06,0,
25242,12/20/17 04:15:00 AM,27.961,0,
25243,12/20/17 04:30:00 AM,28.06,0,
25244,12/20/17 04:45:00 AM,28.159,0,
25245,12/20/17 05:00:00 AM,27.961,0,
25246,12/20/17 05:15:00 AM,27.961,0,
25247,12/20/17 05:30:00 AM,27.961,0,
25248,12/20/17 05:45:00 AM,27.961,0,
25249,12/20/17 06:00:00 AM,28.06,0,
25250,12/20/17 06:15:00 AM,28.06,0,
25251,12/20/17 06:30:00 AM,28.06,0,
25252,12/20/17 06:45:00 AM,28.06,10.8,
25253,12/20/17 07:00:00 AM,28.159,32.3,
25254,12/20/17 07:15:00 AM,28.06,43.1,
25255,12/20/17 07:30:00 AM,28.06,53.8,
25256,12/20/17 07:45:00 AM,28.06,75.3,
25257,12/20/17 08:00:00 AM,28.159,96.9,
25258,12/20/17 08:15:00 AM,28.06,96.9,
25259,12/20/17 08:30:00 AM,28.06,118.4,
25260,12/20/17 08:45:00 AM,28.06,139.9,
25261,12/20/17 09:00:00 AM,28.06,150.7,
25262,12/20/17 09:15:00 AM,28.06,193.8,
25263,12/20/17 09:30:00 AM,28.06,193.8,
25264,12/20/17 09:45:00 AM,28.06,150.7,
