Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
1170,03/14/17 06:14:11 AM,84.474,0,,
1171,03/14/17 07:14:11 AM,84.654,49,,
1172,03/14/17 08:14:11 AM,84.654,41,,
1173,03/14/17 09:14:11 AM,84.654,36,,
1174,03/14/17 10:14:11 AM,84.834,288,,
1175,03/14/17 11:14:11 AM,84.654,38,,
1176,03/14/17 12:14:11 PM,84.654,30,,
1177,03/14/17 01:14:11 PM,85.014,136,,
1178,03/14/17 02:14:11 PM,85.374,144,,
1179,03/14/17 03:14:11 PM,85.374,114,,
1180,03/14/17 04:14:11 PM,85.374,49,,
1181,03/14/17 05:14:11 PM,85.374,33,,
1182,03/14/17 06:14:11 PM,85.194,0,,
1183,03/14/17 07:14:11 PM,85.014,0,,
1184,03/14/17 08:14:11 PM,85.014,0,,
1185,03/14/17 09:14:11 PM,85.014,0,,
1186,03/14/17 10:14:11 PM,85.014,0,,
1187,03/14/17 11:14:11 PM,85.014,0,,
1188,03/15/17 12:14:11 AM,84.834,0,,
1189,03/15/17 01:14:11 AM,85.014,0,,
1190,03/15/17 02:14:11 AM,84.654,0,,
1191,03/15/17 03:14:11 AM,84.474,0,,
1192,03/15/17 04:14:11 AM,84.474,0,,
1193,03/15/17 05:14:11 AM,84.295,0,,
1194,03/15/17 06:14:11 AM,84.834,0,,
1195,03/15/17 07:14:11 AM,84.834,0,,
1196,03/15/17 08:14:11 AM,84.654,7,,
1197,03/15/17 09:14:11 AM,84.654,15,,
1198,03/15/17 10:14:11 AM,84.834,31,,
1199,03/15/17 11:14:11 AM,84.834,50,,
1200,03/15/17 12:14:11 PM,84.834,74,,
1201,03/15/17 01:14:11 PM,84.834,52,,
1202,03/15/17 02:14:11 PM,84.115,111,,
1203,03/15/17 03:14:11 PM,84.115,89,,
1204,03/15/17 04:14:11 PM,84.295,39,,
1205,03/15/17 05:14:11 PM,84.295,41,,
1206,03/15/17 06:14:11 PM,84.295,1,,
1207,03/15/17 07:14:11 PM,84.115,0,,
1208,03/15/17 08:14:11 PM,84.115,0,,
1209,03/15/17 09:14:11 PM,83.935,0,,
1210,03/15/17 10:14:11 PM,83.935,0,,
1211,03/15/17 11:14:11 PM,83.935,0,,
1212,03/16/17 12:14:11 AM,83.757,0,,
1213,03/16/17 01:14:11 AM,83.935,0,,
1214,03/16/17 02:14:11 AM,83.935,0,,
1215,03/16/17 03:14:11 AM,84.115,0,,
1216,03/16/17 04:14:11 AM,84.115,0,,
1217,03/16/17 05:14:11 AM,83.935,0,,
1218,03/16/17 06:14:11 AM,83.935,1,,
1219,03/16/17 07:14:11 AM,83.935,75,,
1220,03/16/17 08:14:11 AM,84.115,208,,
1221,03/16/17 09:14:11 AM,84.115,368,,
1222,03/16/17 10:14:11 AM,84.295,512,,
1223,03/16/17 11:14:11 AM,84.295,512,,
1224,03/16/17 12:14:11 PM,84.295,480,,
1225,03/16/17 01:14:11 PM,84.474,384,,
1226,03/16/17 02:14:11 PM,84.295,240,,
1227,03/16/17 03:14:11 PM,84.295,184,,
1228,03/16/17 04:14:11 PM,85.014,200,,
1229,03/16/17 05:14:11 PM,84.834,70,,
1230,03/16/17 06:14:11 PM,84.115,4,,
1231,03/16/17 07:14:11 PM,84.295,0,,
1232,03/16/17 08:14:11 PM,84.295,0,,
1233,03/16/17 09:14:11 PM,84.295,0,,
1234,03/16/17 10:14:11 PM,84.115,0,,
1235,03/16/17 11:14:11 PM,84.115,0,,
1236,03/17/17 12:14:11 AM,84.115,0,,
1237,03/17/17 01:14:11 AM,83.935,0,,
1238,03/17/17 02:14:11 AM,83.935,0,,
1239,03/17/17 03:14:11 AM,84.654,0,,
1240,03/17/17 04:14:11 AM,84.654,0,,
1241,03/17/17 05:14:11 AM,84.474,0,,
1242,03/17/17 06:14:11 AM,84.474,2,,
1243,03/17/17 07:14:11 AM,84.474,90,,
1244,03/17/17 08:14:11 AM,84.654,256,,
1245,03/17/17 09:14:11 AM,84.654,480,,
1246,03/17/17 10:14:11 AM,84.474,480,,
1247,03/17/17 11:14:11 AM,84.654,768,,
1248,03/17/17 12:14:11 PM,84.654,608,,
1249,03/17/17 01:14:11 PM,84.654,496,,
1250,03/17/17 02:14:11 PM,84.654,432,,
1251,03/17/17 03:14:11 PM,84.834,336,,
1252,03/17/17 04:14:11 PM,85.014,184,,
1253,03/17/17 05:14:11 PM,85.374,51,,
1254,03/17/17 06:14:11 PM,85.374,7,,
1255,03/17/17 07:14:11 PM,84.654,0,,
1256,03/17/17 08:14:11 PM,84.474,0,,
1257,03/17/17 09:14:11 PM,84.654,0,,
1258,03/17/17 10:14:11 PM,84.654,0,,
1259,03/17/17 11:14:11 PM,84.474,0,,
1260,03/18/17 12:14:11 AM,84.654,0,,
1261,03/18/17 01:14:11 AM,84.654,0,,
1262,03/18/17 02:14:11 AM,84.654,0,,
1263,03/18/17 03:14:11 AM,85.554,0,,
1264,03/18/17 04:14:11 AM,85.194,0,,
1265,03/18/17 05:14:11 AM,85.554,0,,
1266,03/18/17 06:14:11 AM,85.554,3,,
1267,03/18/17 07:14:11 AM,85.554,111,,
1268,03/18/17 08:14:11 AM,85.554,288,,
1269,03/18/17 09:14:11 AM,85.554,576,,
1270,03/18/17 10:14:11 AM,85.554,608,,
1271,03/18/17 11:14:11 AM,85.735,800,,
1272,03/18/17 12:14:11 PM,85.735,768,,
1273,03/18/17 01:14:11 PM,85.735,672,,
1274,03/18/17 02:14:11 PM,85.735,496,,
1275,03/18/17 03:14:11 PM,85.554,304,,
1276,03/18/17 04:14:11 PM,86.097,240,,
1277,03/18/17 05:14:11 PM,85.915,101,,
1278,03/18/17 06:14:11 PM,85.735,8,,
1279,03/18/17 07:14:11 PM,85.735,0,,
1280,03/18/17 08:14:11 PM,85.554,0,,
1281,03/18/17 09:14:11 PM,85.554,0,,
1282,03/18/17 10:14:11 PM,85.374,0,,
1283,03/18/17 11:14:11 PM,85.374,0,,
1284,03/19/17 12:14:11 AM,85.374,0,,
1285,03/19/17 01:14:11 AM,85.374,0,,
1286,03/19/17 02:14:11 AM,85.374,0,,
1287,03/19/17 03:14:11 AM,85.194,0,,
1288,03/19/17 04:14:11 AM,85.374,0,,
1289,03/19/17 05:14:11 AM,85.374,0,,
1290,03/19/17 06:14:11 AM,85.194,2,,
1291,03/19/17 07:14:11 AM,85.374,109,,
1292,03/19/17 08:14:11 AM,85.374,240,,
1293,03/19/17 09:14:11 AM,85.554,464,,
1294,03/19/17 10:14:11 AM,85.735,512,,
1295,03/19/17 11:14:11 AM,85.735,800,,
1296,03/19/17 12:14:11 PM,85.735,480,,
1297,03/19/17 01:14:11 PM,85.735,704,,
1298,03/19/17 02:14:11 PM,85.735,480,,
1299,03/19/17 03:14:11 PM,85.735,272,,
1300,03/19/17 04:14:11 PM,85.915,168,,
1301,03/19/17 05:14:11 PM,85.735,48,,
1302,03/19/17 06:14:11 PM,85.374,4,,
1303,03/19/17 07:14:11 PM,85.374,0,,
1304,03/19/17 08:14:11 PM,85.194,0,,
1305,03/19/17 09:14:11 PM,84.834,0,,
1306,03/19/17 10:14:11 PM,84.834,0,,
1307,03/19/17 11:14:11 PM,84.834,0,,
1308,03/20/17 12:14:11 AM,84.834,0,,
1309,03/20/17 01:14:11 AM,84.474,0,,
1310,03/20/17 02:14:11 AM,84.654,0,,
1311,03/20/17 03:14:11 AM,84.474,0,,
1312,03/20/17 04:14:11 AM,84.295,0,,
1313,03/20/17 05:14:11 AM,84.295,0,,
1314,03/20/17 06:14:11 AM,84.474,2,,
1315,03/20/17 07:14:11 AM,84.474,73,,
1316,03/20/17 08:14:11 AM,84.474,208,,
1317,03/20/17 09:14:11 AM,84.654,384,,
1318,03/20/17 10:14:11 AM,84.834,512,,
1319,03/20/17 11:14:11 AM,84.834,288,,
1320,03/20/17 12:14:11 PM,84.834,768,,
1321,03/20/17 01:14:11 PM,84.834,232,,
1322,03/20/17 02:14:11 PM,84.654,113,,
1323,03/20/17 03:14:11 PM,84.834,288,,
1324,03/20/17 04:14:11 PM,84.654,152,,
1325,03/20/17 05:14:11 PM,84.834,67,,
1326,03/20/17 06:14:11 PM,84.654,3,,
1327,03/20/17 07:14:11 PM,84.654,0,,
1328,03/20/17 08:14:11 PM,84.654,0,,
