"","CoralID","Genus","Species","Origin","sourceGen","Destination","Rack","D","d","L","Weight","mlVol","C","DF","RI","area","peri","TH","time","Dl","dl","Ll","Wl","Vl","Al","Fl","Cl","Tl","Rl"
"184","PR_D_Y_N_S_06","P","PR","D","D:PR:Y","S","6",2.97,2.45,7.85,295,131.5,0.514965258881058,1.03280593231764,1.39351303151377,16.3686474450005,19.9858380453993,0.842291019298384,"t0",0.472756449317212,0.389166084364532,0.894869656745253,2.46982201597816,2.11892575282578,1.21401279477901,0.0140187238027256,-0.288222068794104,-0.0745378298319671,0.144111034397051
"185","PR_D_Y_S_D_03","P","PR","D","D:PR:Y","D","3",1.86,1.62,5.52,262,110,0.561096088077711,1.1430762275806,1.33500035005429,11.8918183350033,16.3196351281362,1.11814969178192,"t0",0.269512944217916,0.209515014542631,0.741939077729199,2.41830129131975,2.04139268515822,1.07524826609729,0.0580751928745169,-0.250962759156436,0.0484999484189791,0.125481379578217
"186","PR_D_Y_S_D_08","P","PR","D","D:PR:Y","D","8",2.75,2.52,7.64,291,127.5,0.464099515754921,1.05972378455773,1.46789314505527,17.2815940849978,21.6317310380459,0.890094964544433,"t0",0.439332693830263,0.401400540781544,0.88309335857569,2.46389298898591,2.10551018476997,1.2375838000866,0.0251926817981817,-0.333388884727006,-0.0505636558523313,0.166694442363502
"187","PR_D_Y_S_S_02","P","PR","D","D:PR:Y","S","2",1.84,1.48,3.74,252,110,0.604055036776817,1.03099057762347,1.28665391270436,4.35625486000026,9.51970119680534,0.709371303173831,"t0",0.264817823009536,0.170261715394957,0.57287160220048,2.40140054078154,2.04139268515822,0.639113279957463,0.0132546962196636,-0.218923490055108,-0.149126384408389,0.109461745027555
"188","PR_D_Y_S_S_09","P","PR","D","D:PR:Y","S","9",1.25,1.1,6.52,263,120,0.338412219013039,1.09738304918288,1.71900437563925,11.5527464949992,20.7121191590973,1.632036317585,"t0",0.0969100130080564,0.0413926851582251,0.81424759573192,2.41995574848976,2.07918124604762,1.06268524360718,0.040358247546597,-0.470553964326475,0.212729818848767,0.235276982163238
"189","PR_S_B_N_D_03","P","PR","S","S:PR:B","D","3",1.46,1.15,7.1,250,117,0.627707187885708,1.11991188754845,1.26218045008709,4.71775353999692,9.71838289169789,0.939035858058322,"t0",0.164352855784437,0.0606978403536116,0.851258348719075,2.39794000867204,2.06818586174616,0.67373524917884,0.0491838545837246,-0.2022428982073,-0.0273178234319483,0.10112144910365
"190","PR_S_B_N_D_05","P","PR","S","S:PR:B","D","5",0.91,0.69,2.57,234,97,0.616070282626065,1.15166040506059,1.27404529945818,1.92738460499822,6.27009317735165,0.979082458102814,"t0",-0.0409586076789064,-0.161150909262745,0.409933123331295,2.36921585741014,1.98677173426624,0.284968385730663,0.0613244357271456,-0.210369739758428,-0.00918073047367879,0.105184869879213
"191","PR_S_B_N_D_10","P","PR","S","S:PR:B","D","10",1.46,1.28,5.02,254,105,0.478804400883895,1.08019332889076,1.44517664089443,4.78559553499872,11.2071158281304,0.900891505005985,"t0",0.164352855784437,0.107209969647868,0.700703717145019,2.40483371661994,2.02118929906994,0.679935990486992,0.0335014908169785,-0.319841866471961,-0.0453275082599764,0.159920933235981
"192","PR_S_B_N_S_02","P","PR","S","S:PR:B","S","2",0.66,0.54,2.94,236,96,0.618028704284067,1.04976783677546,1.27202508771617,2.75045596500058,7.47830126773011,1.55946690069686,"t0",-0.180456064458131,-0.267606240177031,0.468347330412157,2.37291200297011,1.98227123303957,0.4394046962553,0.0210932625406003,-0.208991353677076,0.19297616139694,0.104495676838536
"193","PR_S_B_S_D_08","P","PR","S","S:PR:B","D","8",1.54,0.98,4.11,236,101,0.485384335689056,1.03804325834433,1.43534771300197,4.21178757500093,10.4422787730139,0.918941252593079,"t0",0.187520720836463,-0.00877392430750515,0.613841821876069,2.37291200297011,2.00432137378264,0.62446645906346,0.0162154522299547,-0.313914243318416,-0.0367122519329007,0.156957121659208
"194","PR_S_B_S_S_04","P","PR","S","S:PR:B","S","4",1.39,1.26,6.12,247,104,0.444458200200138,1.11922324898993,1.49997678770109,6.56028982000134,13.6191807382603,1.09061307098091,"t0",0.143014800254095,0.100370545117563,0.786751422145561,2.39269695325967,2.01703333929878,0.816923026029168,0.0489167229304895,-0.352169076709588,0.0376706983946893,0.176084538354794
"195","PR_S_B_S_S_06","P","PR","S","S:PR:B","S","6",1.64,1.17,4.78,257,105.5,0.422936480830172,1.11557916595391,1.53766746849733,4.70596298499731,11.8247403124283,0.871109987077879,"t0",0.214843848047698,0.0681858617461616,0.679427896612119,2.40993312333129,2.02325245963371,0.672648506887041,0.0475003949847067,-0.373724852710929,-0.0599270071446448,0.186862426355464
"196","PR_S_G_N_D_05","P","PR","S","S:PR:G","D","5",2.45,1.3,2.58,224,98,0.639482370437546,1.10709903256259,1.25050580445981,5.59037617500053,10.4812036679507,0.711449875661728,"t0",0.389166084364532,0.113943352306837,0.41161970596323,2.35024801833416,1.99122607569249,0.747441032435663,0.04418647125972,-0.194171423862777,-0.147855692192975,0.0970857119313877
"197","PR_S_G_N_D_07","P","PR","S","S:PR:G","D","7",2.46,1.63,2.98,246,108,0.590229805569535,1.16100897110733,1.30163564031829,8.49415184999907,13.4478969938642,0.804066117175584,"t0",0.390935107103379,0.212187604403958,0.474216264076255,2.39093510710338,2.03342375548695,0.929120020608887,0.0648355755416379,-0.228978863172998,-0.0947082383859833,0.114489431586498
"198","PR_S_G_N_D_08","P","PR","S","S:PR:G","D","8",1.34,0.8,2.42,218,95,0.323178921602431,1.1403829948019,1.75905122349898,2.62397038000017,10.1009653761539,0.854123655554413,"t0",0.127104798364808,-0.0969100130080564,0.383815365980431,2.3384564936046,1.97772360528885,0.418958928312203,0.0570507325599389,-0.490556972557953,-0.0684792498761748,0.245278486278976
"199","PR_S_G_N_S_01","P","PR","S","S:PR:G","S","1",2.1,1.19,2.91,235,100,0.4776032150143,1.16070005171906,1.44699283014957,5.43946854500064,11.9632601267515,0.799903130067793,"t0",0.322219294733919,0.0755469613925307,0.463892988985907,2.37106786227174,2,0.735556469689245,0.064720003792421,-0.320932758389847,-0.0969626037884361,0.160466379194924
"200","PR_S_G_N_S_06","P","PR","S","S:PR:G","S","6",2.53,1.64,2.61,224,96,0.627303720818209,1.09310188665014,1.2625862872997,7.23268561000077,12.0369316387855,0.727727519140384,"t0",0.403120521175818,0.214843848047698,0.416640507338281,2.35024801833416,1.98227123303957,0.859299587617606,0.03866064387805,-0.202522136460715,-0.138031201848041,0.101261068230356
"201","PR_S_G_S_D_10","P","PR","S","S:PR:G","D","10",1.63,0.78,2.11,220,93,0.470454539813398,1.13650924720321,1.45794509163483,2.46543836000001,8.11508689600489,0.735165454315855,"t0",0.212187604403958,-0.10790539730952,0.324282455297693,2.34242268082221,1.96848294855394,0.391894148929009,0.0555729737107819,-0.327482336236827,-0.13361490879345,0.163741168118414
"202","PR_S_G_S_S_02","P","PR","S","S:PR:G","S","2",2.05,1.86,2.02,217,92,0.768920656449739,1.09356340474435,1.14040532354532,2.94988507000016,6.94331256029571,0.495656550195132,"t0",0.311753861055754,0.269512944217916,0.305351369446624,2.33645973384853,1.96378782734556,0.469805095830008,0.0388439684731573,-0.114118471959096,-0.304819150163949,0.0570592359795482
"203","PR_S_N_N_D_03","P","PR","S","S:PR:N","D","3",2.87,1.66,4.66,297,128,0.474266291624054,1.09593001495508,1.45207440641953,15.5577249300004,20.3033100688173,0.982493988146706,"t0",0.457881896733992,0.220108088040055,0.66838591669,2.47275644931721,2.10720996964787,1.1919460886314,0.0397828214026628,-0.323977741639294,-0.00767009838021967,0.161988870819646
"204","PR_S_N_N_D_07","P","PR","S","S:PR:N","D","7",2.39,2.35,5.74,277,120,0.520729118586997,1.03301129819444,1.38577929488328,14.1773314950005,18.4967849482098,0.896342450018734,"t0",0.378397900948138,0.371067862271736,0.758911892397974,2.44247976906445,2.07918124604762,1.15159449417166,0.0141050714873532,-0.283388136386012,-0.0475260352713394,0.141694068193007
"205","PR_S_N_N_S_02","P","PR","S","S:PR:N","S","2",1.71,1.41,3.14,247,110,0.570061585639962,1.18091024985437,1.32446080832526,4.1463917100009,9.56046921830842,0.736437049010128,"t0",0.232996110392154,0.14921911265538,0.496929648073215,2.39269695325967,2.04139268515822,0.61767032753501,0.0722168921316018,-0.244078223522593,-0.132864370934025,0.122039111761297
