Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ftý (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
426,02/11/2017 06:14,83.043,0,,
427,02/11/2017 07:14,82.864,42,,
428,02/11/2017 08:14,83.043,116,,
429,02/11/2017 09:14,83.043,224,,
430,02/11/2017 10:14,83.221,352,,
431,02/11/2017 11:14,83.221,448,,
432,02/11/2017 12:14,83.221,464,,
433,02/11/2017 13:14,83.221,368,,
434,02/11/2017 14:14,83.579,368,,
435,02/11/2017 15:14,83.579,256,,
436,02/11/2017 16:14,83.579,192,,
437,02/11/2017 17:14,83.579,75,,
438,02/11/2017 18:14,83.579,5,,
439,02/11/2017 19:14,83.399,0,,
440,02/11/2017 20:14,83.221,0,,
441,02/11/2017 21:14,83.221,0,,
442,02/11/2017 22:14,83.221,0,,
443,02/11/2017 23:14,83.221,0,,
444,02/12/2017 00:14,83.221,0,,
445,02/12/2017 01:14,82.864,0,,
446,02/12/2017 02:14,82.864,0,,
447,02/12/2017 03:14,82.864,0,,
448,02/12/2017 04:14,82.864,0,,
449,02/12/2017 05:14,82.864,0,,
450,02/12/2017 06:14,82.864,0,,
451,02/12/2017 07:14,82.686,21,,
452,02/12/2017 08:14,82.686,86,,
453,02/12/2017 09:14,82.686,176,,
454,02/12/2017 10:14,82.864,272,,
455,02/12/2017 11:14,82.864,320,,
456,02/12/2017 12:14,82.864,304,,
457,02/12/2017 13:14,83.221,352,,
458,02/12/2017 14:14,83.579,496,,
459,02/12/2017 15:14,83.579,368,,
460,02/12/2017 16:14,83.399,160,,
461,02/12/2017 17:14,83.221,71,,
462,02/12/2017 18:14,83.043,6,,
463,02/12/2017 19:14,82.864,0,,
464,02/12/2017 20:14,82.864,0,,
465,02/12/2017 21:14,82.686,0,,
466,02/12/2017 22:14,82.508,0,,
467,02/12/2017 23:14,82.508,0,,
468,02/13/17 12:14:11 AM,82.33,0,,
469,02/13/17 01:14:11 AM,82.508,0,,
470,02/13/17 02:14:11 AM,82.508,0,,
471,02/13/17 03:14:11 AM,82.686,0,,
472,02/13/17 04:14:11 AM,82.864,0,,
473,02/13/17 05:14:11 AM,82.864,0,,
474,02/13/17 06:14:11 AM,82.864,0,,
475,02/13/17 07:14:11 AM,82.508,46,,
476,02/13/17 08:14:11 AM,82.508,144,,
477,02/13/17 09:14:11 AM,82.508,288,,
478,02/13/17 10:14:11 AM,82.686,400,,
479,02/13/17 11:14:11 AM,82.508,384,,
480,02/13/17 12:14:11 PM,82.33,288,,
481,02/13/17 01:14:11 PM,82.508,320,,
482,02/13/17 02:14:11 PM,83.579,576,,
483,02/13/17 03:14:11 PM,83.399,336,,
484,02/13/17 04:14:11 PM,83.399,176,,
485,02/13/17 05:14:11 PM,83.221,72,,
486,02/13/17 06:14:11 PM,83.043,4,,
487,02/13/17 07:14:11 PM,82.864,0,,
488,02/13/17 08:14:11 PM,82.686,0,,
489,02/13/17 09:14:11 PM,82.508,0,,
490,02/13/17 10:14:11 PM,82.508,0,,
491,02/13/17 11:14:11 PM,82.33,0,,
492,02/14/17 12:14:11 AM,82.508,0,,
493,02/14/17 01:14:11 AM,82.508,0,,
494,02/14/17 02:14:11 AM,82.508,0,,
495,02/14/17 03:14:11 AM,82.508,0,,
496,02/14/17 04:14:11 AM,82.152,0,,
497,02/14/17 05:14:11 AM,81.797,0,,
498,02/14/17 06:14:11 AM,81.797,0,,
499,02/14/17 07:14:11 AM,81.621,31,,
500,02/14/17 08:14:11 AM,81.797,91,,
501,02/14/17 09:14:11 AM,81.797,184,,
502,02/14/17 10:14:11 AM,81.975,256,,
503,02/14/17 11:14:11 AM,81.975,304,,
504,02/14/17 12:14:11 PM,82.33,288,,
505,02/14/17 01:14:11 PM,81.975,240,,
506,02/14/17 02:14:11 PM,81.975,160,,
507,02/14/17 03:14:11 PM,81.975,104,,
508,02/14/17 04:14:11 PM,82.152,53,,
509,02/14/17 05:14:11 PM,82.152,21,,
510,02/14/17 06:14:11 PM,81.975,2,,
511,02/14/17 07:14:11 PM,81.797,0,,
512,02/14/17 08:14:11 PM,81.797,0,,
513,02/14/17 09:14:11 PM,81.797,0,,
514,02/14/17 10:14:11 PM,81.797,0,,
515,02/14/17 11:14:11 PM,81.797,0,,
516,02/15/17 12:14:11 AM,81.975,0,,
517,02/15/17 01:14:11 AM,81.975,0,,
518,02/15/17 02:14:11 AM,81.975,0,,
519,02/15/17 03:14:11 AM,82.686,0,,
520,02/15/17 04:14:11 AM,82.686,0,,
521,02/15/17 05:14:11 AM,82.864,0,,
522,02/15/17 06:14:11 AM,82.864,0,,
523,02/15/17 07:14:11 AM,82.33,42,,
524,02/15/17 08:14:11 AM,82.152,121,,
525,02/15/17 09:14:11 AM,82.33,208,,
526,02/15/17 10:14:11 AM,82.33,352,,
527,02/15/17 11:14:11 AM,82.508,368,,
528,02/15/17 12:14:11 PM,82.686,304,,
529,02/15/17 01:14:11 PM,82.864,368,,
530,02/15/17 02:14:11 PM,82.508,576,,
531,02/15/17 03:14:11 PM,83.935,496,,
532,02/15/17 04:14:11 PM,83.935,224,,
533,02/15/17 05:14:11 PM,83.757,84,,
534,02/15/17 06:14:11 PM,83.757,7,,
535,02/15/17 07:14:11 PM,83.579,0,,
536,02/15/17 08:14:11 PM,83.579,0,,
537,02/15/17 09:14:11 PM,83.399,0,,
538,02/15/17 10:14:11 PM,83.221,0,,
539,02/15/17 11:14:11 PM,83.399,0,,
540,02/16/17 12:14:11 AM,83.221,0,,
541,02/16/17 01:14:11 AM,83.043,0,,
542,02/16/17 02:14:11 AM,82.864,0,,
543,02/16/17 03:14:11 AM,82.864,0,,
544,02/16/17 04:14:11 AM,83.043,0,,
545,02/16/17 05:14:11 AM,83.399,0,,
546,02/16/17 06:14:11 AM,83.221,0,,
547,02/16/17 07:14:11 AM,83.399,62,,
548,02/16/17 08:14:11 AM,83.399,200,,
549,02/16/17 09:14:11 AM,83.579,352,,
550,02/16/17 10:14:11 AM,83.757,672,,
551,02/16/17 11:14:11 AM,83.579,144,,
552,02/16/17 12:14:11 PM,83.579,114,,
553,02/16/17 01:14:11 PM,83.935,864,,
554,02/16/17 02:14:11 PM,83.935,320,,
555,02/16/17 03:14:11 PM,84.115,464,,
556,02/16/17 04:14:11 PM,83.935,192,,
557,02/16/17 05:14:11 PM,83.935,90,,
558,02/16/17 06:14:11 PM,83.935,8,,
559,02/16/17 07:14:11 PM,83.757,0,,
560,02/16/17 08:14:11 PM,83.757,0,,
561,02/16/17 09:14:11 PM,83.757,0,,
562,02/16/17 10:14:11 PM,83.757,0,,
563,02/16/17 11:14:11 PM,83.579,0,,
564,02/17/17 12:14:11 AM,83.399,0,,
565,02/17/17 01:14:11 AM,83.399,0,,
566,02/17/17 02:14:11 AM,83.221,0,,
567,02/17/17 03:14:11 AM,83.221,0,,
568,02/17/17 04:14:11 AM,83.221,0,,
569,02/17/17 05:14:11 AM,83.399,0,,
570,02/17/17 06:14:11 AM,83.579,0,,
571,02/17/17 07:14:11 AM,83.399,66,,
572,02/17/17 08:14:11 AM,83.579,256,,
573,02/17/17 09:14:11 AM,83.579,480,,
574,02/17/17 10:14:11 AM,83.757,576,,
575,02/17/17 11:14:11 AM,83.935,704,,
576,02/17/17 12:14:11 PM,83.935,608,,
577,02/17/17 01:14:11 PM,84.295,768,,
578,02/17/17 02:14:11 PM,84.115,672,,
579,02/17/17 03:14:11 PM,84.115,496,,
580,02/17/17 04:14:11 PM,84.115,272,,
581,02/17/17 05:14:11 PM,83.935,89,,
582,02/17/17 06:14:11 PM,83.935,10,,
583,02/17/17 07:14:11 PM,83.757,0,,
584,02/17/17 08:14:11 PM,83.757,0,,
585,02/17/17 09:14:11 PM,83.757,0,,
586,02/17/17 10:14:11 PM,83.579,0,,
587,02/17/17 11:14:11 PM,83.579,0,,
588,02/18/17 12:14:11 AM,83.579,0,,
589,02/18/17 01:14:11 AM,83.579,0,,
590,02/18/17 02:14:11 AM,83.399,0,,
591,02/18/17 03:14:11 AM,83.399,0,,
592,02/18/17 04:14:11 AM,83.221,0,,
