CoralID,ColonyCollection,DeploymentDate,Species,Origin,Genotype,Stained,Destination,Rack,D_i,d_i,L_i,Weight_i,mlVol_i,CollectionDate,D_f,d_f,L_f,Weight_f,mlVol_f
AM_S_R_N_S_04,18/01/2017,19/01/2017,AM,S,R,N,S,4,0.71,0.69,4.87,264,100,07/05/2018,,,,,
AM_S_G_N_S_04,20/01/2017,21/01/2017,AM,S,G,N,S,4,0.76,0.74,6.04,216,104,07/05/2018,,,,,
AM_S_Y_N_S_04,20/01/2017,21/01/2017,AM,S,Y,N,S,4,0.81,0.75,8.13,238,115,07/05/2018,,,,,
PC_D_B_N_S_04,19/01/2017,20/01/2017,PC,D,B,N,S,4,1.46,1.19,5.1,236,101,07/05/2018,,,,,
PC_D_G_N_S_04,21/01/2017,22/01/2017,PC,D,G,N,S,4,1.7,1.61,5.84,245,111.5,07/05/2018,,,,,
PC_D_R_S_S_04,23/01/2017,24/01/2017,PC,D,R,S,S,4,1.39,1.13,5.6,260,110,07/05/2018,3.18,2.32,7.94,326,158
PC_D_Y_S_S_04,19/01/2017,20/01/2017,PC,D,Y,S,S,4,1.83,1.49,5.5,218,91,07/05/2018,3.23,2.86,6.26,274,125
PC_S_B_N_S_04,22/01/2017,23/01/2017,PC,S,B,N,S,4,1.41,1.19,8.21,276,102,07/05/2018,4.16,3.7,10.87,349,129
PC_S_G_N_S_04,18/01/2017,19/01/2017,PC,S,G,N,S,4,2.07,1.69,3.37,208,95,07/05/2018,,,,,
PC_S_N_S_S_04,22/01/2017,23/01/2017,PC,S,N,S,S,4,1.09,0.89,3.95,244,110,07/05/2018,3.82,3,4.48,280,124
PC_S_R_S_S_04,20/01/2017,21/01/2017,PC,S,R,S,S,4,1.17,1.16,6.09,247,99,07/05/2018,,,,,
PC_S_Y_S_S_04,22/01/2017,23/01/2017,PC,S,Y,S,S,4,2.03,1.85,6.68,259,113,07/05/2018,3.64,3.45,7.73,327,132
PR_D_B_S_S_04,19/01/2017,20/01/2017,PR,D,B,S,S,4,1.42,1.06,2.28,229,97,07/05/2018,,,,,
PR_D_G_S_S_04,21/01/2017,22/01/2017,PR,D,G,S,S,4,1,0.72,3.75,248,101,07/05/2018,,,,,
PR_D_R_S_S_04,21/01/2017,22/01/2017,PR,D,R,S,S,4,1.39,0.98,7.36,281,129,07/05/2018,6.46,5.64,11.02,414,180
